jelo,kategorija,cijena,datum
Šiš ćevapi,Roštilj,4.0,2018-06-18 09:22:30
Šiš ćevapi,Roštilj,4.0,2018-09-10 17:00:22
Oslić 300g,Posno,8.0,2018-01-22 13:46:28
Kapućino,Kafa,2.0,2018-04-23 12:50:52
Vijetnamski som 200g,Posno,12.0,2018-02-16 18:05:51
Oslić 200g,Posno,6.0,2018-08-10 16:41:55
Omlet sa povrćem,Doručak,4.0,2018-06-15 17:19:19
Cedevita,Piće,3.0,2018-07-05 08:14:37
Jabuka,Piće,2.0,2018-03-30 01:41:52
Dupli čizburger,Ručak,6.0,2018-06-07 03:13:19
Pileći file,Roštilj,5.0,2018-10-24 16:07:38
Riblja čorba,Posno,6.0,2018-05-25 01:44:42
Cedevita,Piće,3.0,2018-10-02 18:51:55
Riblja čorba,Posno,6.0,2018-04-22 07:13:20
Indeks sendvič,Sendvič,2.0,2018-07-30 17:22:54
Cedevita,Piće,3.0,2018-12-22 01:03:34
Riblja čorba,Posno,6.0,2018-04-19 15:35:46
Vijetnamski som 200g,Posno,12.0,2018-11-09 06:58:48
Ćevapi velika porcija,Roštilj,6.5,2018-07-24 10:18:17
Jagoda,Piće,2.0,2018-11-17 12:38:59
Fruit smoothie 1,Smoothie,3.0,2018-04-23 01:12:31
Omlet sa sirom,Doručak,4.0,2018-11-03 04:14:34
Doručak specijal,Doručak,6.0,2018-10-01 03:57:39
Omlet sa sirom,Doručak,4.0,2018-09-27 12:22:56
Ćevapi mala porcija,Roštilj,3.0,2018-01-10 20:49:52
Indeks sendvič,Sendvič,2.0,2018-04-19 07:20:02
Omlet sa povrćem,Doručak,4.0,2018-08-31 15:27:15
Vijetnamski som 200g,Posno,12.0,2018-10-06 04:32:12
Pastrmka 200g,Posno,7.0,2018-10-15 16:02:10
Fruit smoothie 2,Smoothie,3.0,2018-04-29 11:55:58
Doručak specijal,Doručak,6.0,2018-04-17 01:45:55
Roštiljska kobasica,Roštilj,3.0,2018-10-03 02:35:26
Bijelo Vino,Piće,15.0,2018-10-14 02:19:55
Hamburger,Ručak,4.0,2018-04-11 06:50:09
Omlet sa sirom,Doručak,4.0,2018-07-12 05:01:18
Oslić 300g,Posno,8.0,2018-07-03 09:42:21
Ruska salata 200g,Salata,4.0,2018-01-10 23:57:15
Engleska salata 100g,Salata,2.0,2018-09-30 17:57:30
Pileći file,Roštilj,5.0,2018-11-13 10:22:28
Fruit smoothie 3,Smoothie,3.0,2018-06-03 20:14:41
Indeks sendvič,Sendvič,2.0,2018-11-11 10:17:56
Ruska salata 200g,Salata,4.0,2018-03-06 09:27:18
Kapućino,Kafa,2.0,2018-07-20 19:07:30
Roštiljska kobasica,Roštilj,3.0,2018-12-21 15:34:50
Gurmanski hamburger,Ručak,7.0,2018-09-05 18:05:39
Jagoda,Piće,2.0,2018-10-15 23:47:55
Doručak specijal,Doručak,6.0,2018-01-24 14:21:01
Indeks sendvič,Sendvič,2.0,2018-06-16 18:32:44
Engleska salata 100g,Salata,2.0,2018-03-05 19:35:55
Doručak specijal,Doručak,6.0,2018-07-10 22:22:53
Oslić 300g,Posno,8.0,2018-02-08 21:36:20
Hercegovačko vino,Piće,20.0,2018-10-28 00:32:32
Pileći file,Roštilj,5.0,2018-03-09 04:25:02
Jaja i kobasica,Doručak,5.0,2018-04-17 18:47:49
Pastrmka 200g,Posno,7.0,2018-11-07 10:16:07
Crno Vino,Piće,18.0,2018-12-17 03:35:18
Indeks sendvič,Sendvič,2.0,2018-08-13 01:00:51
Luk,Salata,1.0,2018-05-21 17:59:29
Kapućino,Kafa,2.0,2018-05-31 02:30:38
Oslić 200g,Posno,6.0,2018-03-04 05:30:36
Pileće krpice,Roštilj,6.0,2018-11-12 09:34:17
Cedevita,Piće,3.0,2018-01-04 17:26:34
Vijetnamski som 200g,Posno,12.0,2018-08-25 19:25:00
Indeks sendvič,Sendvič,2.0,2018-06-09 19:11:03
Fruit smoothie 3,Smoothie,3.0,2018-09-29 09:40:20
Jaja i kobasica,Doručak,5.0,2018-03-03 08:50:21
Kafa,Kafa,2.0,2018-08-02 23:49:04
Pileći file,Roštilj,5.0,2018-05-05 21:42:13
Doručak specijal,Doručak,6.0,2018-10-27 16:49:40
Kupus salata 100g,Salata,1.0,2018-06-20 17:44:04
Crno Vino,Piće,18.0,2018-07-06 14:44:13
Pileće krpice,Roštilj,6.0,2018-08-29 00:54:32
Ćevapi srednja porcija,Roštilj,5.0,2018-02-07 18:56:29
Hercegovačko vino,Piće,20.0,2018-09-05 20:57:41
Jaja i kobasica,Doručak,5.0,2018-02-27 12:31:32
Ruska salata 100g,Salata,2.0,2018-05-28 14:27:07
Hercegovačko vino,Piće,20.0,2018-10-15 09:40:12
Luk,Salata,1.0,2018-10-05 16:10:06
Hamburger,Ručak,4.0,2018-07-24 04:02:32
Indeks sendvič,Sendvič,2.0,2018-09-27 00:18:16
Fruit smoothie 1,Smoothie,3.0,2018-07-20 04:47:29
Hamburger,Ručak,4.0,2018-07-11 21:35:21
Omlet sa sirom,Doručak,4.0,2018-08-22 19:54:27
Voćni sendvič,Sendvič,3.0,2018-03-28 12:43:21
Roštiljska kobasica,Roštilj,3.0,2018-09-26 03:26:19
Fruit smoothie 2,Smoothie,3.0,2018-12-23 11:06:14
Indeks sendvič,Sendvič,2.0,2018-12-15 01:48:19
Omlet sa sirom,Doručak,4.0,2018-02-03 04:02:06
Jagoda,Piće,2.0,2018-09-08 16:50:42
Indeks sendvič,Sendvič,2.0,2018-08-07 15:07:04
Omlet sa povrćem,Doručak,4.0,2018-02-04 22:07:35
Oslić 300g,Posno,8.0,2018-04-13 20:32:12
Čizburger,Ručak,4.5,2018-06-24 00:09:00
Dupli čizburger,Ručak,6.0,2018-07-23 02:28:57
Jagoda,Piće,2.0,2018-06-24 22:51:19
Jabuka,Piće,2.0,2018-05-02 22:52:54
Oslić 200g,Posno,6.0,2018-10-27 04:07:41
Cedevita,Piće,3.0,2018-03-01 04:01:35
Doručak specijal,Doručak,6.0,2018-07-03 04:03:01
Fruit smoothie 3,Smoothie,3.0,2018-07-16 04:21:34
Ruska salata 100g,Salata,2.0,2018-02-26 22:36:31
Cedevita,Piće,3.0,2018-03-13 20:44:23
Ćevapi srednja porcija,Roštilj,5.0,2018-10-22 15:52:00
Ćevapi velika porcija,Roštilj,6.5,2018-03-05 07:02:34
Crno Vino,Piće,18.0,2018-05-14 18:19:19
Doručak specijal,Doručak,6.0,2018-08-23 13:56:48
Šiš ćevapi,Roštilj,4.0,2018-11-27 04:15:59
Jaja i kobasica,Doručak,5.0,2018-04-06 13:37:33
Ruska salata 200g,Salata,4.0,2018-12-26 00:02:00
Hercegovačko vino,Piće,20.0,2018-01-23 13:04:24
Vijetnamski som 200g,Posno,12.0,2018-06-16 06:15:54
Jabuka,Piće,2.0,2018-08-01 22:10:32
Oslić 200g,Posno,6.0,2018-09-21 03:41:01
Kupus salata 100g,Salata,1.0,2018-01-30 05:46:20
Čaj,Piće,1.5,2018-09-02 09:10:16
Crno Vino,Piće,18.0,2018-04-12 22:54:16
Dupli čizburger,Ručak,6.0,2018-11-15 13:01:10
Vijetnamski som 200g,Posno,12.0,2018-09-24 21:28:49
Ćevapi velika porcija,Roštilj,6.5,2018-03-02 23:36:17
Doručak specijal,Doručak,6.0,2018-01-28 02:50:40
Pileće krpice,Roštilj,6.0,2018-06-25 03:54:15
Indeks sendvič,Sendvič,2.0,2018-06-25 02:47:11
Ruska salata 100g,Salata,2.0,2018-11-05 04:54:14
Čaj,Piće,1.5,2018-02-09 19:27:41
Čaj,Piće,1.5,2018-09-04 12:40:21
Oslić 200g,Posno,6.0,2018-08-24 16:27:59
Lignje 300g,Posno,8.0,2018-02-24 13:44:49
Engleska salata 100g,Salata,2.0,2018-11-14 18:07:52
Hamburger,Ručak,4.0,2018-01-28 14:13:29
Pileće krpice,Roštilj,6.0,2018-02-11 10:43:52
Omlet sa sirom,Doručak,4.0,2018-09-12 11:12:03
Hercegovačko vino,Piće,20.0,2018-03-13 11:08:47
Indeks sendvič,Sendvič,2.0,2018-06-10 08:15:41
Roštiljska kobasica,Roštilj,3.0,2018-01-08 21:52:45
Omlet sa slaninom,Doručak,5.0,2018-04-16 22:42:50
Riblja čorba,Posno,6.0,2018-06-14 05:28:42
Omlet sa povrćem,Doručak,4.0,2018-12-20 19:00:22
Čaj,Piće,1.5,2018-04-11 01:18:05
Oslić 200g,Posno,6.0,2018-02-26 05:53:14
Kafa,Kafa,2.0,2018-12-21 08:12:50
Riblja čorba,Posno,6.0,2018-10-06 13:50:19
Pileći file,Roštilj,5.0,2018-02-22 17:27:55
Ćevapi mala porcija,Roštilj,3.0,2018-11-02 22:53:58
Luk,Salata,1.0,2018-11-02 11:25:31
Pastrmka 200g,Posno,7.0,2018-04-25 12:29:42
Pastrmka 200g,Posno,7.0,2018-09-13 18:06:44
Omlet,Doručak,3.5,2018-05-29 14:25:29
Jaja i kobasica,Doručak,5.0,2018-11-05 02:13:41
Fruit smoothie 3,Smoothie,3.0,2018-03-16 00:23:22
Kapućino,Kafa,2.0,2018-05-12 06:22:02
Čizburger,Ručak,4.5,2018-10-20 06:19:30
Ćevapi velika porcija,Roštilj,6.5,2018-07-22 02:16:46
Pileći file,Roštilj,5.0,2018-07-06 16:11:17
Omlet,Doručak,3.5,2018-04-13 10:45:03
Ćevapi srednja porcija,Roštilj,5.0,2018-05-02 13:13:07
Bijelo Vino,Piće,15.0,2018-07-17 08:57:07
Čaj,Piće,1.5,2018-08-23 08:51:27
Engleska salata 100g,Salata,2.0,2018-06-29 08:13:14
Lignje 300g,Posno,8.0,2018-08-24 14:07:19
Ruska salata 200g,Salata,4.0,2018-05-30 03:24:33
Jabuka,Piće,2.0,2018-09-21 09:17:29
Fruit smoothie 1,Smoothie,3.0,2018-04-09 10:56:19
Hamburger,Ručak,4.0,2018-12-21 10:58:51
Indeks sendvič,Sendvič,2.0,2018-07-20 11:13:45
Bijelo Vino,Piće,15.0,2018-06-14 13:07:12
Jabuka,Piće,2.0,2018-04-21 08:24:21
Omlet sa povrćem,Doručak,4.0,2018-07-18 04:22:43
Ruska salata 100g,Salata,2.0,2018-02-05 03:39:55
Šiš ćevapi,Roštilj,4.0,2018-05-14 18:18:24
Ruska salata 200g,Salata,4.0,2018-05-14 15:22:13
Omlet,Doručak,3.5,2018-03-01 20:10:57
Bijelo Vino,Piće,15.0,2018-06-08 04:22:06
Kafa,Kafa,2.0,2018-01-08 06:58:07
Oslić 300g,Posno,8.0,2018-09-25 14:20:17
Kafa,Kafa,2.0,2018-04-04 04:15:27
Pastrmka 200g,Posno,7.0,2018-10-19 20:40:56
Oslić 300g,Posno,8.0,2018-09-28 18:35:02
Kola,Piće,2.0,2018-09-18 13:32:08
Kafa,Kafa,2.0,2018-03-30 05:10:53
Omlet,Doručak,3.5,2019-01-01 19:11:59
Engleska salata 100g,Salata,2.0,2018-11-18 22:47:01
Ruska salata 200g,Salata,4.0,2018-02-03 19:46:28
Engleska salata 100g,Salata,2.0,2018-05-03 13:00:57
Cedevita,Piće,3.0,2018-04-17 21:47:39
Roštiljska kobasica,Roštilj,3.0,2018-11-02 09:42:38
Gurmanski hamburger,Ručak,7.0,2018-03-28 08:59:08
Gurmanski hamburger,Ručak,7.0,2018-09-02 04:49:01
Oslić 300g,Posno,8.0,2018-02-25 00:05:45
Ruska salata 100g,Salata,2.0,2018-12-24 16:09:37
Šiš ćevapi,Roštilj,4.0,2018-06-16 01:34:06
Fruit smoothie 1,Smoothie,3.0,2018-09-06 05:25:23
Riblja čorba,Posno,6.0,2018-04-25 12:17:12
Riblja čorba,Posno,6.0,2018-12-20 15:59:01
Kola,Piće,2.0,2018-07-29 23:16:44
Indeks sendvič,Sendvič,2.0,2018-03-23 16:13:14
Jaja i kobasica,Doručak,5.0,2018-01-15 04:04:01
Kapućino,Kafa,2.0,2018-06-19 23:50:49
Kola,Piće,2.0,2018-12-11 08:44:51
Omlet sa slaninom,Doručak,5.0,2018-03-07 10:18:34
Jagoda,Piće,2.0,2018-09-04 12:02:01
Cedevita,Piće,3.0,2018-01-20 22:57:23
Ćevapi velika porcija,Roštilj,6.5,2018-01-21 09:17:29
Engleska salata 100g,Salata,2.0,2018-06-28 11:46:50
Oslić 200g,Posno,6.0,2018-08-25 12:33:07
Roštiljska kobasica,Roštilj,3.0,2018-05-06 10:35:52
Domaća čorba,Ručak,5.0,2018-08-01 13:36:46
Ćevapi velika porcija,Roštilj,6.5,2018-12-29 17:56:01
Fruit smoothie 2,Smoothie,3.0,2018-11-14 14:07:13
Fruit smoothie 3,Smoothie,3.0,2018-08-22 15:15:27
Kapućino,Kafa,2.0,2018-05-08 23:27:02
Gurmanski hamburger,Ručak,7.0,2018-09-30 23:46:38
Kupus salata 100g,Salata,1.0,2018-04-06 07:56:00
Pastrmka 200g,Posno,7.0,2018-06-09 14:16:09
Fruit smoothie 1,Smoothie,3.0,2018-05-03 03:17:54
Voćni sendvič,Sendvič,3.0,2018-01-11 21:38:15
Hercegovačko vino,Piće,20.0,2018-08-28 00:06:34
Riblja čorba,Posno,6.0,2018-12-05 04:49:42
Ćevapi srednja porcija,Roštilj,5.0,2018-09-18 15:04:43
Roštiljska kobasica,Roštilj,3.0,2018-08-24 09:03:45
Gurmanski hamburger,Ručak,7.0,2018-06-20 14:09:07
Gurmanski hamburger,Ručak,7.0,2018-08-22 06:06:41
Omlet sa povrćem,Doručak,4.0,2018-06-02 14:16:21
Ruska salata 200g,Salata,4.0,2018-03-13 18:37:27
Voćni sendvič,Sendvič,3.0,2018-11-26 20:28:51
Ćevapi srednja porcija,Roštilj,5.0,2018-11-28 19:15:28
Fruit smoothie 1,Smoothie,3.0,2018-12-06 10:25:17
Oslić 200g,Posno,6.0,2018-08-18 00:43:46
Engleska salata 100g,Salata,2.0,2018-05-04 23:37:56
Doručak specijal,Doručak,6.0,2018-02-06 07:01:21
Jaja i kobasica,Doručak,5.0,2018-11-11 03:13:16
Vijetnamski som 200g,Posno,12.0,2018-11-04 08:37:21
Domaća čorba,Ručak,5.0,2018-01-31 15:42:37
Roštiljska kobasica,Roštilj,3.0,2018-11-29 17:24:01
Ćevapi velika porcija,Roštilj,6.5,2018-10-18 20:42:48
Fruit smoothie 1,Smoothie,3.0,2018-09-08 21:15:20
Kafa,Kafa,2.0,2018-11-07 08:10:58
Bijelo Vino,Piće,15.0,2018-12-22 20:45:34
Kola,Piće,2.0,2018-02-21 08:53:59
Domaća čorba,Ručak,5.0,2018-10-22 00:39:40
Kafa,Kafa,2.0,2018-10-08 11:38:17
Jabuka,Piće,2.0,2018-09-23 11:20:42
Kafa,Kafa,2.0,2018-04-24 14:42:41
Šiš ćevapi,Roštilj,4.0,2018-11-15 05:38:12
Dupli čizburger,Ručak,6.0,2018-04-02 07:35:00
Omlet sa slaninom,Doručak,5.0,2018-09-14 14:34:13
Čizburger,Ručak,4.5,2018-10-05 14:25:08
Fruit smoothie 2,Smoothie,3.0,2018-08-17 12:17:56
Gurmanski hamburger,Ručak,7.0,2018-10-09 14:58:14
Indeks sendvič,Sendvič,2.0,2018-09-29 19:15:12
Omlet sa povrćem,Doručak,4.0,2018-12-30 18:32:23
Crno Vino,Piće,18.0,2018-07-09 22:07:15
Kapućino,Kafa,2.0,2018-04-15 01:54:59
Bijelo Vino,Piće,15.0,2018-05-18 21:25:28
Ćevapi velika porcija,Roštilj,6.5,2018-08-28 20:18:25
Kafa,Kafa,2.0,2018-12-01 04:26:56
Engleska salata 100g,Salata,2.0,2018-08-31 06:36:50
Riblja čorba,Posno,6.0,2018-11-03 14:23:07
Kafa,Kafa,2.0,2018-06-20 08:47:15
Riblja čorba,Posno,6.0,2018-11-05 15:31:30
Fruit smoothie 3,Smoothie,3.0,2018-03-05 21:05:07
Lignje 300g,Posno,8.0,2018-04-17 05:48:06
Lignje 300g,Posno,8.0,2018-12-13 15:03:32
Luk,Salata,1.0,2018-09-13 07:59:23
Indeks sendvič,Sendvič,2.0,2018-06-26 16:05:17
Voćni sendvič,Sendvič,3.0,2018-03-30 11:06:41
Omlet,Doručak,3.5,2018-02-10 16:40:55
Fruit smoothie 1,Smoothie,3.0,2018-12-16 23:54:58
Šiš ćevapi,Roštilj,4.0,2018-02-23 16:03:55
Šiš ćevapi,Roštilj,4.0,2018-01-03 23:56:25
Bijelo Vino,Piće,15.0,2018-12-28 21:55:19
Vijetnamski som 200g,Posno,12.0,2018-05-02 10:53:24
Indeks sendvič,Sendvič,2.0,2018-12-07 01:51:11
Doručak specijal,Doručak,6.0,2018-11-06 20:12:01
Jabuka,Piće,2.0,2018-02-24 07:38:32
Hercegovačko vino,Piće,20.0,2018-02-26 03:19:56
Čaj,Piće,1.5,2018-11-16 13:41:51
Ćevapi mala porcija,Roštilj,3.0,2018-08-31 20:59:28
Oslić 200g,Posno,6.0,2018-05-27 01:59:43
Hamburger,Ručak,4.0,2018-07-03 23:19:02
Šiš ćevapi,Roštilj,4.0,2018-10-21 15:54:43
Oslić 300g,Posno,8.0,2018-01-30 14:52:35
Bijelo Vino,Piće,15.0,2018-09-21 12:33:15
Kafa,Kafa,2.0,2018-12-22 19:46:40
Indeks sendvič,Sendvič,2.0,2018-10-16 16:48:17
Jaja i kobasica,Doručak,5.0,2018-11-20 12:38:12
Ruska salata 200g,Salata,4.0,2018-03-01 02:41:22
Pileće krpice,Roštilj,6.0,2018-02-08 22:04:13
Indeks sendvič,Sendvič,2.0,2018-12-11 21:56:08
Riblja čorba,Posno,6.0,2018-11-04 05:26:44
Domaća čorba,Ručak,5.0,2018-01-06 14:28:31
Omlet sa slaninom,Doručak,5.0,2018-07-29 05:23:40
Jagoda,Piće,2.0,2018-11-07 15:09:43
Jabuka,Piće,2.0,2018-11-22 20:34:40
Fruit smoothie 3,Smoothie,3.0,2018-06-16 14:34:37
Roštiljska kobasica,Roštilj,3.0,2018-09-13 19:44:31
Omlet,Doručak,3.5,2018-12-24 02:06:07
Luk,Salata,1.0,2018-02-01 13:07:51
Šiš ćevapi,Roštilj,4.0,2018-02-26 10:27:10
Jabuka,Piće,2.0,2018-07-12 10:35:08
Pileći file,Roštilj,5.0,2018-10-19 04:06:09
Domaća čorba,Ručak,5.0,2018-12-16 02:38:20
Hercegovačko vino,Piće,20.0,2018-03-26 03:21:39
Omlet sa slaninom,Doručak,5.0,2018-09-10 02:59:19
Doručak specijal,Doručak,6.0,2018-02-24 19:32:05
Pileće krpice,Roštilj,6.0,2018-06-21 00:16:51
Bijelo Vino,Piće,15.0,2019-01-01 15:57:48
Hamburger,Ručak,4.0,2018-07-08 04:37:07
Doručak specijal,Doručak,6.0,2018-12-08 00:04:25
Oslić 200g,Posno,6.0,2018-08-21 11:32:42
Ruska salata 200g,Salata,4.0,2018-01-08 01:50:59
Bijelo Vino,Piće,15.0,2018-06-15 22:48:57
Domaća čorba,Ručak,5.0,2018-01-07 00:21:01
Kola,Piće,2.0,2018-07-04 13:50:55
Crno Vino,Piće,18.0,2018-10-30 14:33:18
Indeks sendvič,Sendvič,2.0,2018-10-26 06:34:07
Pileći file,Roštilj,5.0,2018-02-24 19:18:49
Doručak specijal,Doručak,6.0,2018-12-15 08:52:06
Luk,Salata,1.0,2018-08-05 04:45:28
Fruit smoothie 2,Smoothie,3.0,2018-09-06 21:40:41
Ćevapi srednja porcija,Roštilj,5.0,2018-03-06 23:16:03
Indeks sendvič,Sendvič,2.0,2018-07-05 15:05:39
Luk,Salata,1.0,2018-11-27 07:46:21
Kupus salata 100g,Salata,1.0,2018-07-27 13:10:23
Gurmanski hamburger,Ručak,7.0,2018-10-11 17:36:34
Lignje 300g,Posno,8.0,2018-12-07 11:01:57
Omlet sa slaninom,Doručak,5.0,2018-07-19 13:50:40
Oslić 300g,Posno,8.0,2018-04-05 07:18:37
Pastrmka 200g,Posno,7.0,2018-08-29 11:27:32
Kola,Piće,2.0,2018-11-06 08:20:29
Čaj,Piće,1.5,2018-10-08 12:00:56
Pastrmka 200g,Posno,7.0,2018-05-02 14:49:36
Oslić 200g,Posno,6.0,2018-12-22 17:53:58
Doručak specijal,Doručak,6.0,2018-10-13 11:54:45
Kola,Piće,2.0,2018-01-10 23:05:22
Engleska salata 100g,Salata,2.0,2018-07-27 13:31:25
Cedevita,Piće,3.0,2018-06-22 18:52:50
Omlet sa povrćem,Doručak,4.0,2018-07-14 02:55:04
Gurmanski hamburger,Ručak,7.0,2018-03-10 14:54:41
Gurmanski hamburger,Ručak,7.0,2018-09-09 00:27:14
Pastrmka 200g,Posno,7.0,2018-03-21 14:04:49
Jabuka,Piće,2.0,2018-10-26 01:22:13
Ruska salata 100g,Salata,2.0,2018-11-10 07:19:25
Fruit smoothie 1,Smoothie,3.0,2018-02-15 22:41:26
Domaća čorba,Ručak,5.0,2018-12-18 01:00:32
Omlet sa sirom,Doručak,4.0,2018-05-18 14:03:50
Fruit smoothie 2,Smoothie,3.0,2018-04-26 13:18:37
Voćni sendvič,Sendvič,3.0,2018-12-12 10:28:31
Kupus salata 100g,Salata,1.0,2018-10-12 08:25:52
Oslić 200g,Posno,6.0,2018-09-29 20:26:13
Oslić 300g,Posno,8.0,2018-02-27 22:59:04
Luk,Salata,1.0,2018-06-22 04:40:28
Fruit smoothie 2,Smoothie,3.0,2018-09-01 23:56:32
Domaća čorba,Ručak,5.0,2018-07-27 01:59:51
Hamburger,Ručak,4.0,2018-07-11 14:05:42
Gurmanski hamburger,Ručak,7.0,2018-04-10 19:12:44
Fruit smoothie 1,Smoothie,3.0,2018-09-05 15:09:27
Omlet sa povrćem,Doručak,4.0,2018-09-02 01:32:53
Čizburger,Ručak,4.5,2018-10-09 12:10:06
Omlet sa sirom,Doručak,4.0,2018-11-12 22:37:29
Jaja i kobasica,Doručak,5.0,2018-12-03 02:30:25
Kola,Piće,2.0,2018-04-29 07:44:09
Indeks sendvič,Sendvič,2.0,2018-09-01 20:09:14
Pileće krpice,Roštilj,6.0,2018-03-25 03:19:28
Riblja čorba,Posno,6.0,2018-01-17 21:39:03
Šiš ćevapi,Roštilj,4.0,2018-05-14 21:45:46
Kupus salata 100g,Salata,1.0,2018-09-16 13:43:57
Hercegovačko vino,Piće,20.0,2018-04-12 14:48:37
Ćevapi srednja porcija,Roštilj,5.0,2018-11-04 06:11:41
Kupus salata 100g,Salata,1.0,2018-06-30 04:16:18
Pastrmka 200g,Posno,7.0,2018-11-18 08:37:24
Engleska salata 100g,Salata,2.0,2018-08-28 21:31:37
Kafa,Kafa,2.0,2018-01-08 12:40:53
Hercegovačko vino,Piće,20.0,2018-08-12 07:30:14
Vijetnamski som 200g,Posno,12.0,2018-07-28 10:47:15
Čaj,Piće,1.5,2018-04-07 18:30:25
Pileći file,Roštilj,5.0,2018-11-27 17:27:06
Ćevapi srednja porcija,Roštilj,5.0,2018-07-29 14:20:41
Kupus salata 100g,Salata,1.0,2018-10-04 05:40:08
Čaj,Piće,1.5,2018-12-26 12:30:44
Domaća čorba,Ručak,5.0,2018-11-29 03:13:28
Luk,Salata,1.0,2018-07-23 16:56:01
Oslić 300g,Posno,8.0,2018-12-27 01:23:40
Ruska salata 200g,Salata,4.0,2018-08-02 02:35:45
Jagoda,Piće,2.0,2018-10-12 06:22:18
Ćevapi mala porcija,Roštilj,3.0,2018-08-18 08:21:10
Cedevita,Piće,3.0,2018-01-01 04:19:21
Cedevita,Piće,3.0,2018-01-16 06:52:11
Omlet,Doručak,3.5,2018-04-07 21:42:21
Čaj,Piće,1.5,2018-08-07 03:36:04
Čaj,Piće,1.5,2018-11-28 01:31:26
Ćevapi velika porcija,Roštilj,6.5,2018-07-22 12:40:45
Čaj,Piće,1.5,2018-06-14 15:43:29
Cedevita,Piće,3.0,2018-01-06 21:51:13
Doručak specijal,Doručak,6.0,2018-03-07 11:43:03
Šiš ćevapi,Roštilj,4.0,2018-09-23 19:51:41
Ćevapi mala porcija,Roštilj,3.0,2018-09-04 16:07:53
Crno Vino,Piće,18.0,2018-06-19 15:40:05
Kola,Piće,2.0,2018-07-07 17:54:18
Omlet,Doručak,3.5,2018-02-26 20:39:08
Jabuka,Piće,2.0,2018-04-14 10:09:55
Riblja čorba,Posno,6.0,2018-02-22 21:30:34
Omlet sa sirom,Doručak,4.0,2018-02-17 04:14:09
Čizburger,Ručak,4.5,2018-08-15 14:52:46
Čaj,Piće,1.5,2018-01-15 01:14:42
Omlet,Doručak,3.5,2018-02-04 21:35:50
Gurmanski hamburger,Ručak,7.0,2018-05-05 07:16:34
Domaća čorba,Ručak,5.0,2018-09-17 15:01:02
Gurmanski hamburger,Ručak,7.0,2018-11-04 08:53:16
Engleska salata 100g,Salata,2.0,2018-08-21 11:31:59
Ćevapi srednja porcija,Roštilj,5.0,2018-06-01 17:32:57
Cedevita,Piće,3.0,2018-02-15 09:47:28
Ćevapi velika porcija,Roštilj,6.5,2018-12-17 20:45:03
Engleska salata 100g,Salata,2.0,2018-05-15 06:58:32
Gurmanski hamburger,Ručak,7.0,2018-07-19 07:10:49
Omlet sa slaninom,Doručak,5.0,2018-11-20 17:23:36
Kafa,Kafa,2.0,2018-10-25 14:08:43
Oslić 200g,Posno,6.0,2018-07-01 09:49:22
Crno Vino,Piće,18.0,2018-12-25 18:58:56
Dupli čizburger,Ručak,6.0,2018-12-03 07:41:44
Fruit smoothie 2,Smoothie,3.0,2018-03-24 17:36:12
Ćevapi mala porcija,Roštilj,3.0,2018-11-18 08:43:58
Jaja i kobasica,Doručak,5.0,2018-09-14 04:22:27
Pastrmka 200g,Posno,7.0,2018-11-26 23:27:48
Kafa,Kafa,2.0,2018-09-30 11:10:18
Oslić 200g,Posno,6.0,2018-04-24 23:39:52
Gurmanski hamburger,Ručak,7.0,2018-09-16 10:51:06
Ćevapi mala porcija,Roštilj,3.0,2018-01-20 20:36:37
Indeks sendvič,Sendvič,2.0,2018-07-18 07:06:49
Pileći file,Roštilj,5.0,2018-05-07 07:36:39
Lignje 300g,Posno,8.0,2018-12-08 17:24:31
Pileće krpice,Roštilj,6.0,2018-04-07 17:35:34
Pastrmka 200g,Posno,7.0,2018-08-06 10:50:25
Ćevapi mala porcija,Roštilj,3.0,2018-06-24 00:12:11
Kola,Piće,2.0,2018-05-18 10:00:39
Indeks sendvič,Sendvič,2.0,2018-06-03 21:47:20
Omlet sa slaninom,Doručak,5.0,2018-01-13 05:12:17
Fruit smoothie 1,Smoothie,3.0,2018-03-24 01:54:40
Ruska salata 100g,Salata,2.0,2018-02-23 12:19:30
Ćevapi srednja porcija,Roštilj,5.0,2018-08-24 03:18:37
Pileće krpice,Roštilj,6.0,2018-10-03 19:16:05
Kola,Piće,2.0,2018-10-31 05:28:33
Ćevapi velika porcija,Roštilj,6.5,2018-11-26 02:15:43
Ruska salata 100g,Salata,2.0,2018-09-08 22:58:45
Fruit smoothie 1,Smoothie,3.0,2018-05-28 05:51:03
Doručak specijal,Doručak,6.0,2018-11-19 11:46:13
Indeks sendvič,Sendvič,2.0,2018-01-19 06:04:38
Pastrmka 200g,Posno,7.0,2018-04-25 00:19:30
Luk,Salata,1.0,2018-12-03 19:23:40
Omlet sa povrćem,Doručak,4.0,2018-02-08 10:13:48
Dupli čizburger,Ručak,6.0,2018-10-16 21:19:01
Domaća čorba,Ručak,5.0,2018-03-03 18:22:04
Čizburger,Ručak,4.5,2018-10-15 09:47:17
Oslić 300g,Posno,8.0,2018-04-23 06:35:32
Jaja i kobasica,Doručak,5.0,2018-01-24 10:38:29
Luk,Salata,1.0,2018-08-22 12:08:57
Cedevita,Piće,3.0,2018-11-01 19:06:41
Čaj,Piće,1.5,2018-06-05 17:41:32
Omlet sa slaninom,Doručak,5.0,2018-06-25 18:14:29
Ćevapi velika porcija,Roštilj,6.5,2018-11-29 16:18:04
